,chlorides,density,pH,sulphates,alcohol,quality
543,0.085,0.9993,3.06,0.72,11.0,E
544,0.075,1.0008,2.86,0.79,8.4,E
545,0.094,0.9982,3.08,0.59,9.1,F
546,0.078,0.9983,3.45,0.78,9.5,E
547,0.067,0.9987,3.26,0.86,10.7,E
548,0.079,0.9994,3.12,0.75,10.4,E
549,0.171,0.9975,3.27,0.61,9.4,E
550,0.07400000000000001,0.9958,3.33,0.56,9.5,E
551,0.092,0.998,3.19,0.73,10.0,E
552,0.092,0.998,3.12,0.74,10.0,E
553,0.05,0.9934,3.74,0.62,11.5,F
554,0.095,1.00315,2.92,0.74,11.1,F
555,0.095,1.00315,2.92,0.74,11.1,F
556,0.118,1.0002,3.07,0.56,11.7,E
557,0.095,1.00315,2.92,0.74,11.1,F
558,0.118,1.0002,3.07,0.56,11.7,E
559,0.085,1.0021,3.3,0.68,12.7,E
560,0.075,0.9994,3.14,0.57,11.4,F
561,0.078,0.9978,3.23,0.58,9.2,F
562,0.094,0.9982,3.08,0.61,9.2,F
563,0.092,0.9971,3.31,0.61,10.1,E
564,0.085,1.0021,3.3,0.68,12.7,E
565,0.075,0.9994,3.14,0.57,11.4,F
566,0.226,0.9991,3.32,0.6,9.0,E
567,0.226,0.9991,3.32,0.6,9.0,E
568,0.25,0.999,3.31,0.79,10.7,E
569,0.095,0.9946,3.57,0.57,11.7,E
570,0.07,1.0003,3.32,0.91,11.0,E
571,0.095,0.9946,3.57,0.57,11.7,E
572,0.075,0.9978,3.14,0.61,10.4,F
573,0.07,0.9991,3.3,0.56,9.6,G
574,0.078,0.9992,3.19,0.7,10.0,E
575,0.079,0.9993,3.2,0.8,10.2,E
576,0.103,0.9978,3.34,0.52,10.0,G
577,0.083,0.9982,3.3,0.6,9.5,F
578,0.085,0.9982,3.29,0.6,9.8,F
579,0.063,0.9976,3.14,0.51,9.8,E
580,0.08900000000000001,1.0002,3.19,0.44,9.6,F
581,0.08900000000000001,1.0002,3.19,0.44,9.6,F
582,0.083,1.0,3.19,0.43,9.2,F
583,0.07400000000000001,0.9976,2.98,0.66,9.9,D
584,0.093,1.0002,3.3,0.76,10.7,D
585,0.091,0.998,3.47,0.66,9.6,E
586,0.094,0.9986,3.12,1.02,10.6,D
587,0.108,0.9967,3.26,0.59,9.3,F
588,0.06,0.9917,3.72,0.74,14.0,C
589,0.059,0.9976,3.05,0.74,10.5,D
590,0.084,0.9987,3.35,0.57,9.7,F
591,0.07,0.9922,3.12,0.5,11.5,E
592,0.084,0.9987,3.35,0.57,9.7,F
593,0.094,1.0004,3.29,0.58,9.0,F
594,0.096,0.9978,3.4,0.53,9.5,F
595,0.086,0.9998,3.27,0.57,9.3,F
596,0.059,0.9994,3.04,0.6,9.3,E
597,0.071,0.998,3.09,0.63,10.0,E
598,0.078,0.9967,3.2,0.48,9.8,E
599,0.08199999999999999,1.0,3.0,0.7,9.3,E
600,0.08800000000000001,0.9962,3.26,0.47,10.0,G
601,0.071,1.0006,3.1,0.56,9.0,E
602,0.081,0.9975,3.3,0.52,9.3,F
603,0.071,1.0006,3.1,0.56,9.0,E
604,0.096,0.9984,3.17,0.62,9.1,E
605,0.085,0.9984,3.31,0.59,9.2,E
606,0.07200000000000001,0.9973,3.34,0.79,12.2,D
607,0.092,0.9982,3.31,0.53,10.5,E
608,0.11,1.0026,3.32,0.64,10.4,E
609,0.075,0.9956,3.56,0.52,12.7,E
610,0.083,0.9983,3.39,0.54,9.2,F
611,0.081,1.0006,2.98,0.54,9.4,F
612,0.077,0.9965,3.32,0.6,10.0,E
613,0.058,0.9962,3.26,0.74,9.8,F
614,0.14800000000000002,0.9969,2.87,1.36,10.2,E
615,0.079,0.9997,3.5,0.57,9.7,F
616,0.079,0.9997,3.5,0.57,9.7,F
617,0.079,0.9982,3.03,0.93,9.8,E
618,0.122,1.0006,3.13,0.7,10.2,F
619,0.08800000000000001,0.9988,3.09,0.8,9.3,F
620,0.076,0.9976,3.27,0.61,9.4,F
621,0.078,0.9976,3.28,0.62,9.4,F
622,0.08,0.9974,3.13,0.55,9.5,F
623,0.077,0.9974,3.49,0.96,12.1,E
624,0.124,0.9997,3.46,0.72,10.2,F
625,0.124,0.9997,3.46,0.72,10.2,F
626,0.098,0.9988,3.36,0.49,9.1,F
627,0.098,0.9988,3.36,0.49,9.1,F
628,0.097,0.9976,3.27,0.6,9.3,E
629,0.111,0.9964,3.21,0.61,9.3,F
630,0.097,0.9976,3.27,0.6,9.3,E
631,0.105,0.9988,3.25,0.63,9.5,F
632,0.087,0.9964,3.32,0.57,10.5,E
633,0.105,1.001,3.43,0.64,11.3,G
634,0.073,0.9964,3.27,0.58,9.5,F
635,0.065,0.9954,3.27,0.55,9.7,F
636,0.086,0.9979,3.24,0.53,9.4,F
637,0.084,0.9978,3.24,0.53,9.4,F
638,0.14300000000000002,0.9964,3.35,0.65,10.2,D
639,0.067,0.997,3.18,1.36,10.3,E
640,0.071,0.9991,3.39,0.62,9.4,F
641,0.071,0.9992,3.46,0.63,9.5,F
642,0.071,0.9991,3.39,0.62,9.4,F
643,0.071,0.9992,3.46,0.63,9.5,F
644,0.071,0.9991,3.39,0.62,9.4,F
645,0.115,0.9984,3.37,0.69,10.1,D
646,0.107,0.9972,3.4,0.63,10.1,F
647,0.07,0.9967,3.32,0.58,11.0,G
648,0.066,0.9964,3.33,0.67,11.2,D
649,0.068,0.9948,3.16,0.57,11.3,E
650,0.106,0.9986,2.89,0.5,9.6,F
651,0.104,1.001,3.41,0.67,11.2,F
652,0.096,0.9976,2.98,0.84,14.9,F
653,0.079,0.9976,3.12,0.54,12.0,E
654,0.07400000000000001,0.9979,3.08,0.46,9.5,F
655,0.087,1.0004,3.14,0.61,9.4,F
656,0.106,0.9986,2.89,0.5,9.6,F
657,0.073,0.998,2.92,0.68,10.5,D
658,0.07400000000000001,0.9973,3.32,0.81,9.6,E
659,0.096,0.997,3.41,0.57,11.0,G
660,0.07400000000000001,0.9973,3.32,0.81,9.6,E
661,0.08,0.9978,3.31,0.64,9.0,F
662,0.076,0.9972,3.36,0.7,9.6,E
663,0.05,0.9974,3.04,0.79,10.2,E
664,0.092,1.0,3.03,0.66,10.2,F
665,0.084,0.9981,3.14,0.56,9.7,F
666,0.222,0.998,3.18,0.6,9.5,E
667,0.08199999999999999,0.9988,2.94,0.66,9.2,E
668,0.059,0.9966,3.15,0.57,11.0,F
669,0.08199999999999999,0.9988,2.94,0.66,9.2,E
670,0.083,0.9959,3.26,0.58,10.0,F
671,0.07400000000000001,0.9968,3.2,0.52,9.5,F
672,0.079,0.998,3.15,0.53,9.5,F
673,0.07400000000000001,0.9968,3.2,0.52,9.5,F
674,0.084,0.9984,3.08,0.67,9.3,E
675,0.064,0.9984,3.26,0.65,10.2,F
676,0.084,0.9984,3.08,0.67,9.3,E
677,0.084,0.9979,3.4,0.48,9.9,F
678,0.081,0.9983,3.48,0.53,10.0,F
679,0.06,0.9972,3.13,0.54,9.6,F
680,0.07,1.0004,3.06,0.49,9.0,F
681,0.094,0.9962,3.21,0.49,10.2,E
682,0.078,0.998,3.33,0.54,9.8,F
683,0.059,0.997,3.37,0.56,11.3,F
684,0.078,0.998,3.25,0.48,9.4,F
685,0.059,0.997,3.37,0.56,11.3,F
686,0.07,0.997,3.44,0.6,9.1,F
687,0.095,0.9998,3.28,0.59,9.7,F
688,0.039,0.9962,3.4,0.47,9.4,F
689,0.157,0.9976,3.3,1.05,9.4,F
690,0.097,0.9966,3.63,0.54,10.7,H
691,0.087,0.9998,3.48,0.54,9.8,F
692,0.422,0.9979,3.03,1.17,9.0,F
693,0.084,0.9984,3.32,0.62,9.4,F
694,0.084,0.9984,3.31,0.61,9.4,F
695,0.034,0.9921,3.9,0.62,12.8,E
696,0.066,0.9972,3.47,0.67,9.5,E
697,0.066,0.9972,3.47,0.67,9.5,E
698,0.087,1.0001,3.31,0.53,9.7,F
699,0.071,0.9986,3.11,0.62,10.8,E
700,0.076,0.9984,3.08,0.57,10.1,E
701,0.066,0.9972,3.47,0.67,9.5,E
702,0.067,0.997,3.47,0.67,9.4,E
703,0.073,0.9972,3.32,0.7,9.6,G
704,0.078,0.998,3.29,0.54,9.7,G
705,0.073,0.999,3.37,0.49,9.9,F
706,0.093,0.9956,3.4,0.47,10.0,F
707,0.077,0.9966,3.37,0.51,10.5,F
708,0.068,0.996,3.34,0.61,11.6,E
709,0.062,0.9983,3.27,0.66,10.0,E
710,0.08,0.9985,3.06,0.57,10.1,F
711,0.093,0.9998,3.38,0.61,9.5,F
712,0.084,0.9992,3.36,0.45,9.4,F
713,0.075,0.9976,3.34,0.46,9.4,F
714,0.078,0.998,3.28,0.51,9.8,F
715,0.069,0.9967,3.29,0.48,9.2,E
716,0.075,0.9976,3.34,0.46,9.4,F
717,0.079,0.9968,3.21,0.57,10.0,F
718,0.08199999999999999,0.9976,3.22,0.44,9.6,F
719,0.086,0.9976,3.46,0.54,9.5,F
720,0.08199999999999999,0.9976,3.22,0.44,9.6,F
721,0.094,0.9982,3.1,0.53,9.2,F
722,0.084,0.9968,3.21,0.59,10.0,F
723,0.053,0.9965,2.94,1.62,9.5,F
724,0.086,0.9958,3.54,0.6,11.2,G
725,0.077,0.9976,3.29,0.55,10.4,F
726,0.084,0.9994,3.43,0.72,11.1,E
727,0.067,0.997,3.46,0.68,9.5,F
728,0.067,0.997,3.46,0.68,9.5,F
729,0.071,0.995,3.61,0.49,12.7,E
730,0.387,0.9982,3.17,0.67,9.6,F
731,0.08800000000000001,0.9994,3.44,0.52,11.5,F
732,0.092,0.9966,3.39,0.47,9.6,F
733,0.08199999999999999,0.998,3.55,0.6,9.5,F
734,0.075,0.9987,3.48,0.62,9.3,F
735,0.112,0.9963,3.26,0.5,9.5,F
736,0.112,0.9963,3.26,0.5,9.5,F
737,0.093,1.0002,3.5,0.65,9.3,E
738,0.092,0.9983,3.1,0.56,9.2,F
739,0.08800000000000001,0.999,3.35,0.6,9.3,F
740,0.075,0.9965,3.45,0.68,11.5,E
741,0.078,0.99788,3.21,0.57,9.5,F
742,0.065,0.9972,3.46,0.65,9.2,F
743,0.096,1.00024,3.13,0.53,10.0,F
744,0.095,1.0001,3.13,0.51,9.5,F
745,0.07,0.99768,3.52,0.73,9.5,E
746,0.08,0.9978,3.3,0.47,9.0,E
747,0.083,0.99782,3.3,0.48,9.4,F
748,0.071,0.99761,3.52,0.72,9.6,E
749,0.07,0.99768,3.52,0.73,9.5,E
750,0.08900000000000001,0.99803,3.29,0.55,9.5,F
751,0.08900000000000001,0.99803,3.29,0.55,9.5,F
752,0.097,0.99785,3.39,0.61,9.4,F
753,0.08900000000000001,0.99803,3.29,0.55,9.5,F
754,0.415,0.99656,3.09,1.06,9.1,E
755,0.058,0.99525,3.51,0.43,10.7,E
756,0.057,0.99488,3.6,0.46,11.2,E
757,0.084,0.99656,3.25,0.5,9.8,F
758,0.084,0.99656,3.25,0.5,9.8,F
759,0.092,0.99823,3.19,0.52,9.2,F
760,0.075,0.99779,3.23,0.57,9.7,F
761,0.096,0.99738,3.25,0.42,9.6,F
762,0.069,0.99701,3.31,0.53,10.0,E
763,0.096,0.99738,3.25,0.42,9.6,F
764,0.093,0.99888,3.31,0.55,9.5,E
765,0.091,0.99888,3.31,0.54,9.5,E
766,0.08900000000000001,0.99738,3.14,0.54,9.4,F
767,0.103,0.99938,3.45,0.62,9.5,F
768,0.08199999999999999,0.99744,3.55,0.53,9.7,E
769,0.076,0.99668,3.39,0.54,9.6,F
770,0.08199999999999999,0.99744,3.55,0.53,9.7,E
771,0.08199999999999999,0.9978,3.28,0.55,9.4,F
772,0.08199999999999999,0.99782,3.27,0.55,9.4,F
773,0.157,0.9973,3.3,0.92,9.5,E
774,0.157,0.99727,3.31,0.91,9.5,E
775,0.102,0.99586,3.43,0.46,10.0,F
776,0.243,0.99612,3.4,0.6,10.3,E
777,0.241,0.9961,3.4,0.59,10.3,E
778,0.079,0.99788,3.36,0.61,10.5,F
779,0.076,0.99745,3.5,0.6,9.8,F
780,0.19,0.99676,3.31,0.6,9.4,E
781,0.114,0.99732,3.66,0.65,9.8,F
782,0.081,0.99814,3.36,0.53,10.0,F
783,0.114,0.99732,3.66,0.65,9.8,F
784,0.077,0.99746,3.55,0.59,9.8,F
785,0.083,0.9982,3.21,0.5,9.5,F
786,0.083,0.9982,3.21,0.5,9.5,F
787,0.079,0.9991,3.18,0.56,10.1,E
788,0.079,0.9991,3.18,0.56,10.1,E
789,0.099,0.998,3.09,0.52,9.3,F
790,0.08199999999999999,0.99708,3.33,0.68,9.7,E
791,0.084,0.99818,3.23,0.54,9.6,F
792,0.081,0.99745,3.48,0.6,9.7,E
793,0.055,0.99639,3.38,0.56,10.8,F
794,0.065,0.99531,3.17,0.53,12.5,E
795,0.132,0.99786,2.99,1.18,10.2,F
796,0.126,0.99746,3.1,0.74,9.6,F
797,0.038,0.99526,3.24,0.81,10.8,D
798,0.08199999999999999,0.9987,3.29,0.52,10.7,E
799,0.08199999999999999,0.9987,3.29,0.52,10.7,E
800,0.08199999999999999,0.99641,3.25,0.51,9.4,F
801,0.068,0.99735,3.23,0.44,10.0,F
802,0.044,0.99264,3.56,0.94,12.9,D
803,0.114,0.9971,3.24,0.66,9.6,E
804,0.084,0.99682,3.26,0.57,9.9,E
805,0.052000000000000005,0.99356,3.33,0.7,12.8,D
806,0.041,0.99386,3.27,0.71,12.5,D
807,0.052000000000000005,0.99356,3.33,0.7,12.8,D
808,0.165,0.99702,3.26,0.86,9.2,F
809,0.07,0.99693,3.22,0.55,10.3,E
810,0.068,0.99562,3.3,0.47,10.5,F
811,0.07200000000000001,1.00012,3.09,0.68,10.9,E
812,0.099,0.99818,3.24,0.71,10.8,F
813,0.102,0.99462,3.44,0.58,11.4,G
814,0.103,0.99939,3.21,0.76,11.3,E
815,0.099,0.99818,3.24,0.71,10.8,F
816,0.081,0.9984,3.23,0.58,10.5,E
817,0.084,0.99545,3.28,0.73,11.9,E
818,0.071,0.99632,3.29,0.45,9.4,F
819,0.097,0.99976,3.28,0.54,9.6,F
820,0.099,0.99606,3.34,0.6,9.7,F
821,0.048,0.99154,3.71,0.74,14.0,D
822,0.076,0.9973,3.61,0.64,9.8,F
823,0.076,0.9973,3.61,0.64,9.8,F
824,0.068,0.99682,3.24,0.53,10.3,F
825,0.076,0.99624,3.36,0.49,10.7,F
826,0.05,0.9951,3.4,0.64,11.0,D
827,0.076,0.99624,3.36,0.49,10.7,F
828,0.065,0.99417,3.46,0.74,12.7,C
829,0.071,0.99376,3.56,0.77,11.1,E
830,0.058,0.99632,3.38,0.55,10.9,G
831,0.071,0.99376,3.56,0.77,11.1,E
832,0.145,0.99832,3.38,0.86,9.9,H
833,0.147,0.99836,3.38,0.86,9.9,G
834,0.08800000000000001,0.99694,3.32,0.47,9.4,F
835,0.066,0.99655,3.39,0.51,9.3,F
836,0.012,0.99064,3.26,0.39,11.7,D
837,0.012,0.99064,3.26,0.39,11.7,D
838,0.075,0.99672,3.24,0.83,11.2,D
839,0.092,0.99647,3.46,0.47,10.0,F
840,0.085,0.99736,3.24,0.77,12.1,D
841,0.115,0.99629,3.45,0.63,10.3,F
842,0.119,0.99708,3.23,0.72,10.9,E
843,0.08800000000000001,0.9963,3.28,0.62,9.4,F
844,0.062,0.9959,3.18,0.83,10.6,E
845,0.081,0.99689,3.59,0.66,9.8,F
846,0.081,0.99689,3.59,0.66,9.8,F
847,0.078,0.9977,3.5,0.7,9.9,E
848,0.081,0.99689,3.59,0.66,9.8,F
849,0.08,0.99689,3.58,0.66,9.8,F
850,0.085,0.99708,3.28,0.55,9.5,F
851,0.085,0.99708,3.28,0.55,9.5,F
852,0.08,0.99801,3.22,1.07,9.7,F
853,0.08,0.99652,3.47,0.73,10.9,E
854,0.08,0.99652,3.47,0.73,10.9,E
855,0.071,0.99538,3.51,0.71,11.7,D
856,0.08,0.99652,3.47,0.73,10.9,E
857,0.073,0.99594,3.4,0.78,11.3,D
858,0.054000000000000006,0.99686,3.15,0.67,10.6,D
859,0.07400000000000001,0.99438,3.4,0.82,11.2,E
860,0.077,0.99746,3.51,0.54,9.5,F
861,0.039,0.99357,3.66,0.6,11.5,E
862,0.067,0.99628,3.24,0.44,10.4,F
863,0.078,0.99746,3.51,0.53,9.7,F
864,0.077,0.99746,3.51,0.54,9.5,F
865,0.077,0.99748,3.51,0.54,9.7,F
866,0.071,0.99438,3.41,0.83,11.3,E
867,0.07200000000000001,0.99438,3.4,0.84,11.2,E
868,0.07400000000000001,0.99438,3.4,0.82,11.2,E
869,0.08,0.99578,3.44,0.64,10.9,E
870,0.064,0.99371,3.41,0.57,11.8,E
871,0.086,0.99522,3.53,0.57,10.6,F
872,0.067,0.99576,3.43,0.54,10.0,G
873,0.067,0.99552,3.23,0.58,11.1,D
874,0.104,0.99664,3.12,0.65,11.8,D
875,0.109,0.99614,3.31,0.79,11.8,D
876,0.067,0.99517,3.4,0.58,10.9,G
877,0.064,0.99371,3.41,0.57,11.8,E
878,0.094,0.99787,3.22,0.5,10.0,E
879,0.076,0.99745,3.53,0.55,9.5,F
880,0.078,0.99576,3.15,0.49,9.9,F
881,0.068,0.99533,3.48,0.65,11.4,E
882,0.194,0.99536,3.22,0.78,12.0,E
883,0.076,0.99745,3.53,0.55,9.5,F
884,0.094,0.99787,3.22,0.5,10.0,E
885,0.086,0.99824,3.34,0.64,10.5,F
886,0.083,0.99836,3.33,0.65,10.4,E
887,0.066,0.99577,3.15,0.79,12.1,D
888,0.07200000000000001,0.99491,3.43,0.56,11.2,E
889,0.112,1.00289,3.22,0.68,9.3,F
890,0.071,0.99576,3.44,0.58,10.1,F
891,0.078,0.99743,3.53,0.57,9.7,F
892,0.08199999999999999,0.99774,3.22,0.65,9.3,E
893,0.078,0.99743,3.53,0.57,9.7,F
894,0.08,0.99745,3.53,0.58,9.8,E
895,0.08,0.9955,3.42,0.58,10.7,E
896,0.078,0.99444,3.31,0.77,12.5,D
897,0.08,0.9955,3.42,0.58,10.7,E
898,0.078,0.99444,3.31,0.77,12.5,D
899,0.084,0.99892,3.48,0.49,11.0,H
900,0.056,0.99562,3.4,0.69,11.8,F
901,0.08,0.99736,3.58,0.69,10.8,D
902,0.08,0.99736,3.58,0.69,10.8,D
903,0.06,0.9962,3.41,0.59,10.8,D
904,0.06,0.9962,3.41,0.59,10.8,D
905,0.081,0.998,3.23,0.59,9.5,F
906,0.084,0.9964,3.39,0.71,11.0,F
907,0.079,0.9948,3.59,0.54,11.5,E
908,0.078,0.99528,3.43,0.59,10.8,E
909,0.059,0.99331,3.29,0.52,11.5,E
910,0.132,0.99577,3.23,0.57,13.2,E
911,0.114,0.99901,3.18,0.6,10.9,E
912,0.065,0.99674,3.33,0.62,12.2,E
913,0.094,0.99639,3.27,0.64,12.2,D
914,0.059,0.99331,3.29,0.52,11.5,E
915,0.079,0.99512,3.27,0.67,11.9,E
916,0.161,0.99395,3.62,0.61,11.0,F
917,0.084,0.99824,3.38,0.64,10.1,E
918,0.081,0.9964,3.3,0.72,11.0,E
919,0.07200000000000001,0.99504,3.38,0.89,11.8,E
920,0.091,0.99786,3.24,0.56,10.5,F
921,0.081,0.9964,3.3,0.72,11.0,E
922,0.07200000000000001,0.99504,3.38,0.89,11.8,E
923,0.084,0.99824,3.38,0.64,10.1,E
924,0.055,0.99516,3.18,0.8,11.2,F
925,0.064,0.99604,3.47,0.87,11.0,D
926,0.061,0.99786,3.47,0.9,10.2,E
927,0.093,0.99736,3.2,0.59,9.2,G
928,0.055,0.99516,3.18,0.8,11.2,F
929,0.063,0.99468,3.3,0.73,12.0,D
930,0.08,0.99746,3.69,0.73,10.5,F
931,0.07400000000000001,0.99748,3.48,0.65,9.8,F
932,0.078,0.9971,3.45,0.59,9.5,E
933,0.07400000000000001,0.99748,3.48,0.65,9.8,F
934,0.08,0.99746,3.69,0.73,10.5,F
935,0.06,0.99543,3.39,0.72,11.8,E
936,0.06,0.99543,3.39,0.72,11.8,E
937,0.071,0.99791,3.07,0.6,10.4,G
938,0.068,0.99356,3.34,0.72,12.9,D
939,0.073,0.99425,3.61,0.54,11.4,F
940,0.07400000000000001,0.99509,3.36,0.76,12.4,D
941,0.08199999999999999,0.99484,3.19,0.52,12.5,D
942,0.092,0.99834,3.22,0.64,10.0,D
943,0.094,0.99864,3.24,0.6,9.7,D
944,0.09,0.99498,3.27,0.64,12.1,D
945,0.071,0.99566,3.14,0.79,11.1,D
946,0.092,0.99745,3.29,0.99,12.0,D
947,0.093,0.99408,3.26,0.62,12.4,D
948,0.075,0.99552,3.41,0.76,11.9,D
949,0.075,0.99552,3.41,0.76,11.9,D
950,0.075,0.99552,3.41,0.76,11.9,D
951,0.093,0.99408,3.26,0.62,12.4,D
952,0.058,0.99536,3.31,0.68,11.2,D
953,0.052000000000000005,0.99458,3.2,0.69,12.1,D
954,0.08199999999999999,0.99538,3.44,0.54,12.2,E
955,0.09,0.99648,3.36,0.67,10.4,F
956,0.111,0.99568,3.31,0.62,11.3,E
957,0.08800000000000001,0.99613,3.29,0.58,11.1,E
958,0.12,0.99519,3.47,0.71,11.3,D
959,0.08900000000000001,0.99735,3.36,0.61,10.0,F
960,0.058,0.99518,3.16,0.85,11.1,E
961,0.078,0.99592,3.27,0.62,9.3,F
962,0.115,0.99654,3.38,0.69,9.5,F
963,0.1,0.99546,3.15,0.69,11.2,E
964,0.058,0.99518,3.16,0.85,11.1,E
965,0.065,0.99554,3.34,0.86,11.0,E
966,0.103,0.99604,3.13,0.58,11.9,D
967,0.097,0.99733,3.13,0.48,9.2,F
968,0.068,0.9943,3.2,0.6,12.2,E
969,0.079,0.99669,3.46,0.61,10.2,F
970,0.066,0.99724,3.33,0.87,10.9,E
971,0.066,0.99724,3.33,0.87,10.9,E
972,0.104,0.99643,3.22,0.65,11.6,D
973,0.079,0.99605,3.52,0.63,10.7,F
974,0.073,0.99658,3.3,0.62,12.1,D
975,0.083,0.997,3.44,0.52,9.4,F
976,0.083,0.997,3.44,0.52,9.4,F
977,0.109,0.99801,3.15,0.5,9.1,F
978,0.061,0.99416,3.28,0.49,11.3,D
979,0.075,0.9969,3.13,0.63,10.4,F
980,0.065,0.99774,3.32,0.71,10.5,E
981,0.079,0.99712,3.25,0.62,10.0,F
982,0.07,0.99418,3.34,0.82,12.9,E
983,0.065,0.99774,3.32,0.71,10.5,E
984,0.075,0.9969,3.13,0.63,10.4,F
985,0.064,0.99562,3.45,0.58,11.3,E
986,0.066,0.9947,3.19,0.55,11.4,D
987,0.08,0.99693,3.44,0.5,9.4,F
988,0.097,0.99596,3.16,0.49,9.4,F
989,0.073,0.99556,3.14,0.51,10.9,E
990,0.097,0.99596,3.16,0.49,9.4,F
991,0.08199999999999999,0.99694,3.45,0.48,9.4,F
992,0.076,0.99554,3.36,0.48,9.4,E
993,0.08199999999999999,0.99694,3.45,0.48,9.4,F
994,0.092,0.99918,3.15,0.43,9.4,F
995,0.079,0.99697,3.39,0.62,10.1,E
996,0.087,0.99378,3.71,0.63,12.8,D
997,0.087,0.99378,3.71,0.63,12.8,D
998,0.05,0.99554,3.12,0.48,9.1,E
999,0.055,0.99162,3.47,0.53,12.9,E
1000,0.062,0.99495,3.44,0.72,11.5,D
1001,0.058,0.99676,3.26,0.82,10.6,D
1002,0.063,0.99516,3.26,0.84,11.7,D
1003,0.067,0.9928,3.36,0.55,12.8,D
1004,0.081,0.99603,3.25,0.54,10.3,F
1005,0.067,0.9928,3.36,0.55,12.8,D
1006,0.063,0.99516,3.26,0.84,11.7,D
1007,0.064,0.99516,3.26,0.84,11.7,D
1008,0.11,0.99549,3.23,0.7,12.0,D
1009,0.116,0.99722,3.18,0.68,10.9,F
1010,0.067,0.99354,3.25,0.55,12.3,D
1011,0.08800000000000001,0.9957,3.17,0.55,10.4,E
1012,0.102,0.99604,3.23,0.48,10.0,F
1013,0.092,0.99635,3.38,0.58,10.0,E
1014,0.12,0.99454,3.22,0.58,11.2,E
1015,0.075,0.99598,3.06,0.84,11.4,E
1016,0.068,0.99486,3.27,0.75,12.6,D
1017,0.049,0.99007,2.89,0.44,12.7,E
1018,0.049,0.99007,2.89,0.44,12.7,E
1019,0.078,0.99636,3.53,0.61,10.4,F
1020,0.123,0.99642,3.2,0.53,11.9,E
1021,0.123,0.99642,3.2,0.53,11.9,E
1022,0.062,0.99584,3.35,0.54,10.5,F
1023,0.098,0.99506,3.27,0.55,12.3,E
1024,0.08800000000000001,0.99568,3.32,0.56,10.5,D
1025,0.095,0.99822,3.33,0.6,10.4,E
1026,0.066,0.99364,3.41,0.56,12.6,E
1027,0.065,0.99378,3.49,0.52,11.6,F
1028,0.075,0.99586,3.37,0.54,10.1,E
1029,0.08800000000000001,0.99568,3.32,0.56,10.5,D
1030,0.091,0.99488,3.42,0.55,11.5,D
1031,0.093,0.99514,3.35,0.58,11.0,D
1032,0.095,0.99854,3.36,0.53,9.6,F
1033,0.08900000000000001,0.99592,3.3,0.59,10.4,E
1034,0.077,0.99739,3.2,0.47,9.7,E
1035,0.085,0.99683,3.17,0.65,10.6,D
1036,0.08199999999999999,0.99356,3.22,0.59,12.5,D
1037,0.07400000000000001,0.99672,3.35,0.56,9.2,F
1038,0.078,0.9953,3.24,0.77,12.6,D
1039,0.08800000000000001,0.99692,3.33,0.83,11.1,E
1040,0.08800000000000001,0.99756,3.58,0.67,10.2,F
1041,0.079,0.99547,3.38,0.64,9.8,E
1042,0.08800000000000001,0.99692,3.33,0.83,11.1,E
1043,0.069,0.99859,3.29,0.81,10.9,D
1044,0.046,0.99294,3.36,0.62,12.2,E
1045,0.07,0.99438,3.32,0.58,11.4,E
1046,0.076,0.99612,3.31,0.62,10.7,E
1047,0.08199999999999999,0.99634,3.49,0.64,10.4,F
1048,0.081,0.99702,3.27,0.78,10.9,E
1049,0.084,0.99704,3.27,0.77,10.8,E
1050,0.08199999999999999,0.99634,3.49,0.64,10.4,F
1051,0.414,0.99702,3.03,1.34,9.2,F
1052,0.073,0.99258,3.56,0.55,12.9,F
1053,0.07,0.99426,3.38,0.77,12.7,D
1054,0.095,0.99747,3.13,0.62,9.1,E
1055,0.095,0.99747,3.13,0.62,9.1,E
1056,0.101,0.99586,3.21,0.59,12.1,D
1057,0.104,0.99784,3.15,0.57,9.1,F
1058,0.093,0.9971,3.19,0.76,11.6,D
1059,0.101,0.99586,3.21,0.59,12.1,D
1060,0.07400000000000001,0.9981,3.14,0.7,9.9,E
1061,0.071,0.99462,3.21,0.69,12.5,C
1062,0.098,0.9956,3.3,0.64,11.4,E
1063,0.075,0.99565,3.22,0.63,11.8,E
1064,0.067,0.99418,3.28,0.57,11.8,E
1065,0.083,0.9963,3.29,0.6,10.2,E
1066,0.07,0.99358,3.4,0.72,12.5,D
1067,0.06,0.99572,3.02,0.83,10.9,D
1068,0.06,0.99572,3.02,0.83,10.9,D
1069,0.086,0.997,3.31,0.62,10.8,F
1070,0.057,0.99498,3.18,0.89,11.1,D
1071,0.098,0.99892,3.2,0.58,9.2,F
1072,0.083,0.9968,3.4,0.58,9.5,E
1073,0.08800000000000001,0.9972,3.31,0.58,10.7,E
1074,0.098,0.99892,3.2,0.58,9.2,F
1075,0.071,0.99769,3.44,0.86,10.2,D
1076,0.073,0.99534,3.15,0.73,11.4,E
1077,0.08,0.99817,3.27,0.58,11.0,F
1078,0.08,0.99817,3.27,0.58,11.0,F
1079,0.05,0.99316,3.01,0.51,12.3,D
1080,0.047,0.99471,3.16,0.51,11.8,E
1081,0.05,0.99316,3.01,0.51,12.3,D
1082,0.073,0.99685,3.42,0.59,9.5,E
1083,0.07200000000000001,0.99617,3.33,0.77,12.0,E
1084,0.073,0.99685,3.42,0.59,9.5,E
